,TOTAL REGIONS,SOUTH EAST ASIA,INDONESIA,MALAYSIA,PHILIPPINES,THAILAND,VIETNAM,NORTH EAST ASIA,CHINA,HONG KONG,JAPAN,SOUTH ASIA,MIDDLE EAST,OCEANIA,EUROPE,FRANCE,GERMANY,UNITED KINGDOM,NORTH AMERICA,OTHER REGIONS
2000M01,1045092,413450,120322,121018,35228,111636,10885,245586,34013,69711,86339,82624,10883,133358,119735,11469,24251,45630,26225,13231
2000M02,1042395,423172,108219,140873,28769,112799,15578,262736,44500,69344,84269,75720,9773,116833,118685,11424,22852,48556,23197,12279
2000M03,1100033,452560,124415,140595,33325,121424,16636,266972,38781,74961,97273,79146,13960,137533,111054,10737,21926,43837,25519,13289
2000M04,1118255,442421,117352,137920,36480,117760,14842,271424,49473,84503,75681,86546,16467,144664,120093,12110,24330,46392,22339,14301
2000M05,1056417,437495,113530,141765,36619,116064,12963,247600,47049,73059,68447,84622,10466,133268,103662,11045,20625,39014,27886,11418
2000M06,1174014,458645,130420,145721,30892,119888,13775,299526,56856,88672,84437,78314,21284,143898,126471,12126,23108,50762,33157,12719
2000M07,1180515,443508,130962,138135,29272,112293,16357,303750,41720,87920,99791,80554,19642,132148,157857,13596,29708,67690,29234,13822
2000M08,1158741,444483,127648,145755,29637,105648,17764,293458,38873,84901,105872,80694,14889,143561,143390,12145,27917,59691,23906,14360
2000M09,1121235,423607,126821,136372,28194,103536,13125,286654,56587,82193,92951,76262,10424,138492,147065,11463,27937,60317,25519,13212
2000M10,1142458,430602,124236,139806,29193,109595,12462,277854,54012,78192,89552,75816,12264,135752,167069,14131,30549,69349,29108,13993
2000M11,1133556,433947,114141,141943,26806,119924,12887,275317,50383,80740,90741,77593,12692,160483,133291,11317,25609,59086,27444,12789
2000M12,1272897,469931,128598,146896,25279,133773,13157,321552,60253,99420,98011,83159,16024,191622,142190,12285,24673,68296,33699,14720
2001M01,1164672,431224,115362,130138,34866,116099,15799,287006,54210,89147,85980,93263,11793,163881,131596,10880,23638,60469,31850,14059
2001M02,1004780,403155,108701,125339,26309,108692,17471,239169,39701,61990,85205,80326,11045,116360,121526,11712,24888,52375,22619,10580
2001M03,1158157,463090,124848,143255,31161,127617,17973,278970,45756,84529,96285,84574,19184,151771,125817,11226,25026,54893,22687,12064
2001M04,1095673,433444,114670,132264,35439,117122,15134,264885,52287,79243,77559,78464,13410,155852,116938,12435,24637,47877,20663,12017
2001M05,1082517,442167,114636,146426,32439,117248,13018,257005,52877,75440,70313,78241,12860,146238,108074,11114,22706,41334,26950,10982
2001M06,1195115,471051,133007,146886,30622,126720,14876,297440,58859,90455,83053,74258,20505,155790,132088,13893,24370,55092,31915,12068
2001M07,1195365,463620,134499,139246,28116,125253,16924,289614,46398,82709,93070,78385,19504,146288,156602,16251,33728,62854,28709,12643
2001M08,1170932,461828,134648,142299,28451,117532,17955,284904,46693,78212,100180,74690,15572,150608,146730,13353,32484,57713,23875,12725
2001M09,1081657,420566,131829,129751,25937,101839,14102,252938,56247,71564,78087,67630,11371,149996,147649,12611,31920,59237,18779,12728
2001M10,986199,391388,117909,115435,25161,104821,12434,218158,57856,61953,51721,59408,11187,131838,146638,14267,32111,59220,16427,11155
